BoardNet	N	FPGANet	IOSTANDARD	LOC	SLEW	Other	Notes		
DIO_DIR[14]	14	dig_Dir<11>	LVCMOS33	W22			DigIO		dig_Dir<14>
DIO_OE			LVCMOS33	G7			Pulled appropriately		
DIO_OE_B			LVCMOS33	F7			Pulled appropriately		
FPGA_CMDENBL		subbus_cmdenbl	LVCMOS33	G4					
FPGA_CMDENBL_B		subbus_cmdenbl_b	LVCMOS33	F3					
FPGA_CMDSTRB		subbus_cmdstrb	LVCMOS33	G6					
FPGA_CMDSTRB_B		subbus_cmdstrb_b	LVCMOS33	F5					
FPGA_CMD_DIR			LVCMOS33	U6			Pulled appropriately		
FPGA_CPU_RESET		fpga_0_rst_1_sys_rst_pin	LVCMOS33	Y19					
FPGA_CSO_B			LVCMOS33	T5					
FPGA_D0_DIN_MISO_MISO1			LVCMOS33	AA20					
FPGA_D1_MISO2			LVCMOS33	U14					
FPGA_D2_MISO3			LVCMOS33	U13					
FPGA_MOSI_CSI_B_MISO0			LVCMOS33	AB20					
FPGA_MSD_CS_B			LVCMOS33	AB21					
FPGA_SYSCLK		fpga_0_clk_1_sys_clk_pin	LVCMOS33	AA12					
FPGA_UFM_CS_B			LVCMOS33	T14					
FPGA_XCLK			LVCMOS33	Y11					
FPGA_XTRIG			LVCMOS33	Y13					
FTDI_D[0]		xps_epc_0_PRH_Data_pin<0>	LVCMOS33	AA10					
FTDI_D[1]		xps_epc_0_PRH_Data_pin<1>	LVCMOS33	AB10					
FTDI_D[2]		xps_epc_0_PRH_Data_pin<2>	LVCMOS33	Y9					
FTDI_D[3]		xps_epc_0_PRH_Data_pin<3>	LVCMOS33	AB9					
FTDI_D[4]		xps_epc_0_PRH_Data_pin<4>	LVCMOS33	AA8					
FTDI_D[5]		xps_epc_0_PRH_Data_pin<5>	LVCMOS33	AB8					
FTDI_D[6]		xps_epc_0_PRH_Data_pin<6>	LVCMOS33	Y7					
FTDI_D[7]		xps_epc_0_PRH_Data_pin<7>	LVCMOS33	AB7					
FTDI_PWREN_B			LVCMOS33	AB3					
FTDI_RD		xps_epc_0_PRH_Rd_n_pin	LVCMOS33	AA4					
FTDI_RXF		xps_epc_0_FTDI_RXF_pin	LVCMOS33	AA6					
FTDI_SI		FTDI_SI_pin	LVCMOS33	Y4					
FTDI_SIWU			LVCMOS33	M8					
FTDI_SPR_AC1			LVCMOS33	P6					
FTDI_SPR_AC6			LVCMOS33	P7					
FTDI_SPR_AC7			LVCMOS33	P8					
FTDI_SPR_AD3			LVCMOS33	AB2					
FTDI_SPR_AD5			LVCMOS33	AA2					
FTDI_SPR_AD6			LVCMOS33	Y3					
FTDI_SPR_AD7			LVCMOS33	W4					
FTDI_SPR_BC5			LVCMOS33	M6					
FTDI_SPR_BC6			LVCMOS33	N6					
FTDI_SPR_BC7			LVCMOS33	N7					
FTDI_SUSPEND_B			LVCMOS33	M7					
FTDI_TXE			LVCMOS33	AB6					
FTDI_UPLOAD			LVCMOS33	L6					
FTDI_WR		xps_epc_0_FTDI_WR_pin	LVCMOS33	AB4					
GPIO_ERROR_LED		subbus_fail_leds<0>	LVCMOS33	T19					
GPIO_HDR[0]			LVCMOS33	W8					
GPIO_HDR[10]			LVCMOS33	W14					
GPIO_HDR[11]			LVCMOS33	Y14					
GPIO_HDR[12]			LVCMOS33	V17					
GPIO_HDR[13]			LVCMOS33	W17					
GPIO_HDR[14]			LVCMOS33	W18					
GPIO_HDR[15]			LVCMOS33	Y18					
GPIO_HDR[1]			LVCMOS33	V7					
GPIO_HDR[2]			LVCMOS33	U9					
GPIO_HDR[3]			LVCMOS33	V9					
GPIO_HDR[4]			LVCMOS33	W9					
GPIO_HDR[5]			LVCMOS33	Y8					
GPIO_HDR[6]			LVCMOS33	W10					
GPIO_HDR[7]			LVCMOS33	Y10					
GPIO_HDR[8]			LVCMOS33	V13					
GPIO_HDR[9]			LVCMOS33	W13					
GPIO_LED[0]		subbus_fail_leds<1>	LVCMOS33	AB17					
GPIO_LED[1]		subbus_fail_leds<2>	LVCMOS33	AA16					
GPIO_LED[2]		subbus_fail_leds<3>	LVCMOS33	AB16					
GPIO_LED[3]		subbus_fail_leds<4>	LVCMOS33	AB15					
GPIO_SW[0]		DACS_switches<0>	LVCMOS33	AB19					
GPIO_SW[1]		DACS_switches<1>	LVCMOS33	AA18					
GPIO_SW[2]		DACS_switches<2>	LVCMOS33	AB18					
GPIO_SW[3]		DACS_switches<3>	LVCMOS33	Y17					
IIC_SCL		fpga_0_Generic_IIC_Bus_Scl_pin	LVCMOS33	T18					
IIC_SDA		fpga_0_Generic_IIC_Bus_Sda_pin	LVCMOS33	T17					
MPS_PFO_B			LVCMOS33	V11					
MPS_RESET_B			LVCMOS33	AA21					
MPS_WDI			LVCMOS33	W11					
PHY_COL			LVCMOS33	V1					
PHY_CRS			LVCMOS33	W1					
PHY_INT			LVCMOS33	R3					
PHY_MDC			LVCMOS33	Y1					
PHY_MDIO			LVCMOS33	Y2					
PHY_RESET			LVCMOS33	W3					
PHY_RXCTL_RXDV			LVCMOS33	V3					
PHY_RXC_RXCLK			LVCMOS33	Y12					
PHY_RXD0			LVCMOS33	U4					
PHY_RXD1			LVCMOS33	U3					
PHY_RXD2			LVCMOS33	T4					
PHY_RXD3			LVCMOS33	T3					
PHY_RXER			LVCMOS33	V2					
PHY_TXCLK			LVCMOS33	W12					
PHY_TXCTL_TXEN			LVCMOS33	R4					
PHY_TXD0			LVCMOS33	U1					
PHY_TXD1			LVCMOS33	T2					
PHY_TXD2			LVCMOS33	T1					
PHY_TXD3			LVCMOS33	R1					
USB_1_CTS			LVCMOS33	Y15					
USB_1_RTS			LVCMOS33	V15					
USB_1_RX		fpga_0_RS232_TX_pin	LVCMOS33	AA14					
USB_1_TX		fpga_0_RS232_RX_pin	LVCMOS33	AB14					
